rackTotCnt,stationName,parkingBikeTotCnt,shared,stationLatitude,stationLongitude,stationId
8,451. 청와대앞길,2,25,37.58351517,126.97966766,ST-979
13,452. 동대문 종합시장 버스정류장,1,8,37.57123947,127.00440979,ST-1605
10,453. 종로오가 지하쇼핑센터 14번출구,0,0,37.57114029,127.00067139,ST-1606
13,454. 종로2가 버스정류장 (종각방향),0,0,37.57035828,126.98638153,ST-1607
8,455. 종로6가역 버스정류장(동대문 방향),0,0,37.57096100,127.00605774,ST-1608
10,456. 숭인2동 주민센터 입구,5,50,37.57447052,127.01982880,ST-1609
10,457. 종로꽃시장 입구 옆,0,0,37.57131958,127.00720978,ST-1610
21,458. 광화문역 5번출구,1,5,37.56989288,126.97756958,ST-1611
10,461. 서울지방경찰청,9,90,37.57436371,126.97236633,ST-1619
10,462. 신영동삼거리(북악터널방향),2,20,37.60351181,126.96206665,ST-1752
10,464. 삼청동 골목,0,0,37.58419037,126.98169708,ST-1756
5,465. 삼청공원 앞,8,160,37.58760452,126.98359680,ST-1759
13,466.롯데호텔,2,15,37.56584167,126.97981262,ST-1772
10,468.웨스틴 조선호텔,1,10,37.56415939,126.97948456,ST-1774
11,469.회현역 1번출구,1,9,37.55923080,126.98014069,ST-1775
13,470.회현역 7번출구,3,23,37.55974579,126.98000336,ST-1776
10,471.회현사거리 남측,1,10,37.56035995,126.98265076,ST-1777
12,472.삼일교(시그니쳐 타워),1,8,37.56787109,126.98840332,ST-1778
20,473.을지로4가역 9번출구,1,5,37.56605148,126.99798584,ST-1779
40,474.동대문역사문화공원역 1번출구 뒤편,2,5,37.56629944,127.00849152,ST-1780
21,475.DDP 패션몰,12,57,37.56764984,127.01181030,ST-1781
10,476.광희문,0,0,37.56443024,127.00995636,ST-1782
10,477.앰배서더 호텔 주변,13,130,37.55928802,127.00268555,ST-1783
10,479.동대입구역 3번 출구,0,0,37.55937576,127.00602722,ST-1785
8,480.약수역 6번 출구,2,25,37.55432129,127.01070404,ST-1786
16,481.신당역 10번 출구,8,50,37.56703186,127.01579285,ST-1787
12,483.남산타운아파트 버스정류장,0,0,37.54758453,127.00643921,ST-1789
12,484.도동삼거리,0,0,37.55614853,126.97742462,ST-1790
10,485.서울역5번출구,1,10,37.55677032,126.97319794,ST-1791
5,486. 평창동주민센터 앞,2,40,37.60627365,126.96832275,ST-2019
15,487.신석초교앞 교차로 교통섬,33,220,37.54364014,126.93830872,ST-2146
10,488.푸르메병원,6,60,37.58456802,126.88021088,ST-2147
10,489.구룡근린공원,9,90,37.58320236,126.88276672,ST-2148
23,490.가온문화공원,5,22,37.58207703,126.88766479,ST-2149
10,491.월드컵파크 4단지,0,0,37.57597733,126.88806915,ST-2150
10,492.성산시영아파트 후문,14,140,37.57313538,126.90184784,ST-2151
7,493.홍대입구역 6번출구,1,14,37.55657578,126.92885590,ST-2152
5,494.신수동주민센터,0,0,37.54724503,126.93502808,ST-2153
10,495.염리초등학교 앞,14,140,37.54243088,126.94699860,ST-2154
25,497.합정동주민센터 앞,0,0,37.55175400,126.91230011,ST-2156
10,498.연남동주민센터 앞,3,30,37.56465149,126.92212677,ST-2157
10,500. 어린이대공원역 3번출구 앞,1,10,37.54706955,127.07427216,ST-97
30,501. 광진구의회 앞,14,47,37.53730774,127.07035065,ST-98
33,502. 뚝섬유원지역 1번출구 앞,35,106,37.53186035,127.06719208,ST-99
12,505. 자양사거리 광진아크로텔 앞,2,17,37.53701019,127.08224487,ST-102
7,506. 금호 어울림 아파트 앞,2,29,37.54906082,127.05779266,ST-103
7,507. 성수아이에스비즈타워 앞,2,29,37.54820251,127.05711365,ST-104
10,508. 성수아카데미타워 앞,2,20,37.54516602,127.05751038,ST-105
25,509. 이마트 버스정류소 옆,2,8,37.53965378,127.05258942,ST-106
15,510. 서울숲 남문 버스정류소 옆,6,40,37.54122162,127.04380035,ST-107
16,511. 서울숲역 5번 출구 옆,3,19,37.54458237,127.04460907,ST-108
15,512. 뚝섬역 1번 출구 옆,1,7,37.54856110,127.04500580,ST-109
13,513. 뚝섬역 5번 출구 정류소 옆,4,31,37.54630661,127.04980469,ST-111
12,514. 성수사거리 버스정류장 앞,0,0,37.54257965,127.06330872,ST-112
15,515. 광양중학교 앞,9,60,37.53023529,127.08683014,ST-113
10,516. 광진메디칼 앞,6,60,37.54840469,127.06936646,ST-114
20,518. 청계천 박물관 앞,9,45,37.57152557,127.03535461,ST-234
20,519. 양지사거리,13,65,37.56699371,127.02991486,ST-235
8,520. 상왕십리역 4번 출구 앞,2,25,37.56385803,127.03031921,ST-236
14,521. 왕십리역 11번 출구 앞,0,0,37.56144714,127.03491974,ST-237
9,522. 금호역 1번출구 앞,2,22,37.54864120,127.01642609,ST-238
7,523. 옥수동성당 옆,0,0,37.54366302,127.01406097,ST-239
10,524. 래미안금호하이리버 아파트 102동 옆,2,20,37.55220032,127.02505493,ST-240
20,525. 한양대병원사거리,0,0,37.55805206,127.04035187,ST-241
10,526. 용답토속공원 앞,10,100,37.56351089,127.05672455,ST-242
8,529. 장한평역 8번 출구 앞,6,75,37.56137085,127.06365967,ST-243
9,530. 청계벽산아파트 앞,21,233,37.56874847,127.03040314,ST-244
7,533. 금남시장 교차로,15,214,37.54814911,127.02108765,ST-245
10,534. 금호사거리,19,190,37.54863358,127.02572632,ST-246
11,535. 응봉삼거리,0,0,37.55398560,127.03359222,ST-247
8,536. 행당역 2번출구 앞,9,113,37.55735016,127.02921295,ST-248
10,537. 한양대후문역 부근,1,10,37.56035614,127.04139709,ST-249
15,538. 답십리역 8번출구 앞,25,167,37.56764984,127.05115509,ST-250
10,539. 군자교교차로,15,150,37.55979538,127.07420349,ST-252
8,540. 군자역 7번출구 베스트샵 앞,10,125,37.55603027,127.07864380,ST-253
19,542. 강변역 4번출구 뒤,26,137,37.53546524,127.09448242,ST-254
20,543. 구의공원(테크노마트 앞),8,40,37.53596878,127.09467316,ST-255
20,544. 광남중학교,22,110,37.54072952,127.10290527,ST-256
8,546. 잠실대교북단 교차로,20,250,37.53247833,127.08509064,ST-257
20,548. 자양나들목,21,105,37.52976990,127.07485962,ST-258
10,549. 아차산역 3번출구,5,50,37.55122375,127.08970642,ST-259
15,550. 서울시설공단 앞,7,47,37.57164001,127.03565979,ST-251
13,551. 구의삼성쉐르빌 앞,28,215,37.54006195,127.09449768,ST-377
10,552. 대림아크로리버 앞,22,220,37.53657913,127.09297180,ST-378
19,553. 중곡 성원아파트 앞,36,189,37.57125473,127.07980347,ST-379
9,555. 구의3동주민센터,13,144,37.53784943,127.09217072,ST-381
14,556. 달맞이공원,6,43,37.54205322,127.02040100,ST-357
10,557. 도선동 주민센터 앞,17,170,37.56764221,127.02569580,ST-358
20,558. 성동광진 교육지원청 앞,1,5,37.56460571,127.03652191,ST-359
13,559. 왕십리역 4번 출구 건너편,7,54,37.56109619,127.03679657,ST-360
8,560. 비전교회 앞,5,63,37.55120468,127.06893158,ST-361
10,561. 서울숲역 2번출구 앞,7,70,37.54281616,127.04467010,ST-362
10,562. 군자지하보도 앞,2,20,37.55924606,127.07341003,ST-363
10,563. 성동세무서 건너편,5,50,37.54791260,127.06275177,ST-364
10,564. 금호역 3번출구,3,30,37.54792786,127.01557159,ST-365
19,565. 옥수역 3번출구,22,116,37.54136658,127.01776123,ST-366
15,567. 성수역 2번출구 앞,9,60,37.54459000,127.05708313,ST-368
15,568. 청계8가사거리 부근,15,100,37.57110214,127.02355957,ST-369
