대여소_ID,주소1,주소2,위도,경도
ST-2027,서울특별시 강서구 가로공원로 189 가로공원로 지하공영주차장,,37.537361,126.837448
ST-2026,서울특별시 강서구 강서로 515 라이품,,37.57132,126.841667
ST-2025,서울특별시 강서구 가양동 1459-11,,37.564587,126.856918
ST-2024,서울특별시 강서구 가양동 18-23,,37.564682,126.848907
ST-2023,서울특별시 강서구 가양동 1458-13,,37.57037,126.844414
ST-2022,서울특별시 강서구 방화동 813-18,,37.576317,126.816498
ST-2021,서울특별시 강서구 양천로 431 홈플러스가양점,,37.564404,126.84922
ST-2020,서울특별시 강서구 화곡로 398 홈플러스강서점앤본사사옥,,37.558521,126.854012
ST-202,서울특별시 마포구 공덕동 438-5,공덕역 8번출구,37.543579,126.951324
ST-2019,서울특별시 종로구 평창문화로 65 평창동 주민센터,,37.606274,126.968323
ST-2018,서울특별시 강서구 공항대로 607 서울도시가스사옥,,37.547485,126.872025
ST-2017,서울특별시 양천구 오목로 299 목동트라팰리스,,37.525372,126.870926
ST-2016,서울특별시 양천구 오목로 300 현대하이페리온2,,37.524906,126.869789
ST-2015,서울특별시 양천구 신월동 455-5,,37.527607,126.848755
ST-2014,서울특별시 양천구 목동로3길 57 양천아파트,,37.512287,126.86528
ST-2013,서울특별시 양천구 신정동 204-20,,37.507904,126.862648
ST-2012,서울특별시 양천구 목동서로 280 목동신시가지아파트8단지,,37.520073,126.868301
ST-2011,서울특별시 양천구 목동동로 105 양천구청,,37.517326,126.866302
ST-2010,서울특별시 양천구 신정동 329-5,,37.515018,126.872238
ST-201,서울특별시 마포구 공덕동 257-88,공덕역 2번출구,37.544579,126.950218
ST-2009,서울특별시 양천구 신정동 1094,,37.52224,126.861763
ST-2008,서울특별시 양천구 신정동 1316-7,,37.511673,126.832741
ST-2007,서울특별시 양천구 신정동 1278-2,,37.517593,126.876556
ST-2006,서울특별시 양천구 안양천로 812 공중화장실,,37.517338,126.877647
ST-2005,서울특별시 양천구 신정동 1145,,37.518543,126.853882
ST-2004,서울특별시 양천구 신월로 166-1 구두수선대15,,37.517971,126.841537
ST-2003,서울특별시 양천구 곰달래로7길 7 신월6차보람아파트,,37.530128,126.834778
ST-2002,서울특별시 양천구 목동동로 441 공중화장실,,37.538742,126.885681
ST-2001,서울특별시 양천구 목동중앙남로3가길 59 세종그랑시아아파트,,37.538376,126.863831
ST-2000,서울특별시 양천구 공항대로 552 목동대우마이빌,,37.549507,126.867218
ST-200,서울특별시 마포구 아현동 329-15,아현역 4번출구 앞,37.557201,126.955666
ST-20,서울특별시 마포구 양화로18길 3,192-5,37.55706,126.924423
ST-2,서울특별시 마포구 동교로8안길 23,457-33,0,0
ST-1999,서울특별시 양천구 공항대로 630 어바니엘,,37.546707,126.874573
ST-1998,서울특별시 양천구 목동 812,,37.528259,126.864265
ST-1997,서울특별시 양천구 목동로 212 목동신시가지아파트7단지,,37.528206,126.870163
ST-1996,서울특별시 양천구 목동 927-10,,37.525715,126.864868
ST-1995,서울특별시 양천구 목동서로 159-3 가로판매대2,,37.527855,126.874672
ST-1994,서울특별시 양천구 목동동로 350 목동신시가지아파트5단지,,37.535667,126.881584
ST-1993,서울특별시 양천구 신정로 110 신정숲속마을,,37.505745,126.836311
ST-1992,서울특별시 영등포구 문래로 121 서울특별시 남부교육지원청,,37.519333,126.895302
ST-1991,서울특별시 영등포구 신길동 3859,,37.500137,126.913979
ST-1990,서울특별시 영등포구 영등포동 618-9,,37.514847,126.90773
ST-199,서울특별시 중구 청파로 456,종로학원본원 앞,37.55978,126.968506
ST-1989,서울특별시 영등포구 여의도동 4-2,,37.521664,126.930878
ST-1988,서울특별시 영등포구 63로 40 라이프오피스텔,,37.519875,126.93882
ST-1987,서울특별시 영등포구 의사당대로 1 국회,,37.532665,126.913765
ST-1986,서울특별시 영등포구 당산동 121-317,,37.529743,126.907829
ST-1985,서울특별시 영등포구 도신로29길 28 영등포푸르지오,,37.512024,126.901054
ST-1984,서울특별시 영등포구 신길로 39-3 가로판매대84,,37.496365,126.908249
ST-1983,서울특별시 영등포구 신길동 2798,,37.500172,126.911308
ST-1982,서울특별시 영등포구 가마산로 442 래미안프레비뉴,,37.504383,126.908089
